serial,production_date,shipment_part_serial
10418D1506120418,2015年/第6週,BC4DFB65AF90
10418D1506119628,2015年/第6週,BC4DFB65B090
10418D1506120420,2015年/第6週,BC4DFB65A3C0
10418D1506120400,2015年/第6週,BC4DFB659180
10418D1506119010,2015年/第6週,BC4DFB6590B0
10418D1506116057,2015年/第6週,BC4DFB65A9E0
10418D1506117910,2015年/第6週,BC4DFB65A4A0
10418D1506120393,2015年/第6週,BC4DFB65A460
10418D1506119639,2015年/第6週,BC4DFB659B40
10418D1506120390,2015年/第6週,BC4DFB659B00
10418D1506120422,2015年/第6週,BC4DFB65AF80
10418D1506116061,2015年/第6週,BC4DFB65A480
10418D1506120419,2015年/第6週,BC4DFB65B0B0
10418D1506116124,2015年/第6週,BC4DFB658D70
10418D1506116106,2015年/第6週,BC4DFB659F90
10418D1506120413,2015年/第6週,BC4DFB658E20
10418D1506119003,2015年/第6週,BC4DFB6591B0
10418D1506120424,2015年/第6週,BC4DFB659F10
10418D1506116142,2015年/第6週,BC4DFB659FF0
10418D1506120416,2015年/第6週,BC4DFB658E60
10418D1506116140,2015年/第6週,BC4DFB6599C0
10418D1506116052,2015年/第6週,BC4DFB659640
10418D1506116115,2015年/第6週,BC4DFB65C030
10418D1506115725,2015年/第6週,BC4DFB65C170
10418D1506120412,2015年/第6週,BC4DFB658EB0
10418D1506119004,2015年/第6週,BC4DFB65B450
10418D1506119006,2015年/第6週,BC4DFB65B550
10418D1506116144,2015年/第6週,BC4DFB65B5D0
10418D1506116135,2015年/第6週,BC4DFB65B5A0
10418D1506119018,2015年/第6週,BC4DFB65B560
10418D1506116112,2015年/第6週,BC4DFB65B4F0
10418D1506119002,2015年/第6週,BC4DFB6591D0
10418D1506120408,2015年/第6週,BC4DFB65C0B0
10418D1506120435,2015年/第6週,BC4DFB659050
10418D1506116143,2015年/第6週,BC4DFB65C060
10418D1506116108,2015年/第6週,BC4DFB65B4B0
10418D1506116119,2015年/第6週,BC4DFB65C090
10418D1506113731,2015年/第6週,BC4DFB65B860
10418D1506120395,2015年/第6週,BC4DFB65C010
10418D1506119012,2015年/第6週,BC4DFB65C0C0
10418D1506120423,2015年/第6週,BC4DFB65C110
10418D1506114364,2015年/第6週,BC4DFB65C410
